gene_index,params,st1_best_val_psnr,st2_best_val_psnr,st1_best_model,st2_best_model,best_overall_psnr,best_overall_model
1,2272,31.939489364624023,31.83759307861328,outputs/a100_fast_bestpsnr_20260217_223917/gene_001/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_001/stage2_p128_best.keras,31.939489364624023,outputs/a100_fast_bestpsnr_20260217_223917/gene_001/stage1_p64_best.keras
2,2544,32.475711822509766,32.31034851074219,outputs/a100_fast_bestpsnr_20260217_223917/gene_002/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_002/stage2_p128_best.keras,32.475711822509766,outputs/a100_fast_bestpsnr_20260217_223917/gene_002/stage1_p64_best.keras
3,2816,34.1283073425293,33.901432037353516,outputs/a100_fast_bestpsnr_20260217_223917/gene_003/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_003/stage2_p128_best.keras,34.1283073425293,outputs/a100_fast_bestpsnr_20260217_223917/gene_003/stage1_p64_best.keras
4,2976,34.30079650878906,34.126304626464844,outputs/a100_fast_bestpsnr_20260217_223917/gene_004/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_004/stage2_p128_best.keras,34.30079650878906,outputs/a100_fast_bestpsnr_20260217_223917/gene_004/stage1_p64_best.keras
5,3088,34.14078903198242,33.92295455932617,outputs/a100_fast_bestpsnr_20260217_223917/gene_005/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_005/stage2_p128_best.keras,34.14078903198242,outputs/a100_fast_bestpsnr_20260217_223917/gene_005/stage1_p64_best.keras
6,3360,34.66404724121094,34.377506256103516,outputs/a100_fast_bestpsnr_20260217_223917/gene_006/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_006/stage2_p128_best.keras,34.66404724121094,outputs/a100_fast_bestpsnr_20260217_223917/gene_006/stage1_p64_best.keras
7,3520,34.57616424560547,34.367027282714844,outputs/a100_fast_bestpsnr_20260217_223917/gene_007/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_007/stage2_p128_best.keras,34.57616424560547,outputs/a100_fast_bestpsnr_20260217_223917/gene_007/stage1_p64_best.keras
8,3792,34.69706726074219,34.43566131591797,outputs/a100_fast_bestpsnr_20260217_223917/gene_008/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_008/stage2_p128_best.keras,34.69706726074219,outputs/a100_fast_bestpsnr_20260217_223917/gene_008/stage1_p64_best.keras
9,4320,34.9522819519043,34.69446563720703,outputs/a100_fast_bestpsnr_20260217_223917/gene_009/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_009/stage2_p128_best.keras,34.9522819519043,outputs/a100_fast_bestpsnr_20260217_223917/gene_009/stage1_p64_best.keras
10,9936,35.09380340576172,34.81890106201172,outputs/a100_fast_bestpsnr_20260217_223917/gene_010/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_010/stage2_p128_best.keras,35.09380340576172,outputs/a100_fast_bestpsnr_20260217_223917/gene_010/stage1_p64_best.keras
11,10192,34.778358459472656,34.56271743774414,outputs/a100_fast_bestpsnr_20260217_223917/gene_011/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_011/stage2_p128_best.keras,34.778358459472656,outputs/a100_fast_bestpsnr_20260217_223917/gene_011/stage1_p64_best.keras
12,10464,35.128475189208984,34.8364372253418,outputs/a100_fast_bestpsnr_20260217_223917/gene_012/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_012/stage2_p128_best.keras,35.128475189208984,outputs/a100_fast_bestpsnr_20260217_223917/gene_012/stage1_p64_best.keras
13,16336,34.72067642211914,34.5264892578125,outputs/a100_fast_bestpsnr_20260217_223917/gene_013/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_013/stage2_p128_best.keras,34.72067642211914,outputs/a100_fast_bestpsnr_20260217_223917/gene_013/stage1_p64_best.keras
14,16352,34.8361930847168,34.625770568847656,outputs/a100_fast_bestpsnr_20260217_223917/gene_014/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_014/stage2_p128_best.keras,34.8361930847168,outputs/a100_fast_bestpsnr_20260217_223917/gene_014/stage1_p64_best.keras
15,16608,35.13123321533203,34.84093475341797,outputs/a100_fast_bestpsnr_20260217_223917/gene_015/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_015/stage2_p128_best.keras,35.13123321533203,outputs/a100_fast_bestpsnr_20260217_223917/gene_015/stage1_p64_best.keras
16,29168,34.783790588378906,34.55012893676758,outputs/a100_fast_bestpsnr_20260217_223917/gene_016/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_016/stage2_p128_best.keras,34.783790588378906,outputs/a100_fast_bestpsnr_20260217_223917/gene_016/stage1_p64_best.keras
17,29184,35.2801628112793,34.97006607055664,outputs/a100_fast_bestpsnr_20260217_223917/gene_017/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_017/stage2_p128_best.keras,35.2801628112793,outputs/a100_fast_bestpsnr_20260217_223917/gene_017/stage1_p64_best.keras
18,29440,35.428993225097656,35.12253952026367,outputs/a100_fast_bestpsnr_20260217_223917/gene_018/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_018/stage2_p128_best.keras,35.428993225097656,outputs/a100_fast_bestpsnr_20260217_223917/gene_018/stage1_p64_best.keras
19,60768,35.997215270996094,35.62845230102539,outputs/a100_fast_bestpsnr_20260217_223917/gene_019/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_019/stage2_p128_best.keras,35.997215270996094,outputs/a100_fast_bestpsnr_20260217_223917/gene_019/stage1_p64_best.keras
20,112032,36.51639175415039,36.06172561645508,outputs/a100_fast_bestpsnr_20260217_223917/gene_020/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260217_223917/gene_020/stage2_p128_best.keras,36.51639175415039,outputs/a100_fast_bestpsnr_20260217_223917/gene_020/stage1_p64_best.keras
