gene_index,params,st1_best_val_psnr,st2_best_val_psnr,st1_best_model,st2_best_model,best_overall_psnr,best_overall_model
1,82944,34.791133880615234,,DNNs/Full Trained/strategic50/bass_0001_x2/bass_0001/best.keras,,34.791133880615234,DNNs/Full Trained/strategic50/bass_0001_x2/bass_0001/best.keras
2,139024,35.224430084228516,,DNNs/Full Trained/strategic50/bass_0002_x2/bass_0002/best.keras,,35.224430084228516,DNNs/Full Trained/strategic50/bass_0002_x2/bass_0002/best.keras
3,33424,35.0189323425293,,DNNs/Full Trained/strategic50/bass_0003_x2/bass_0003/best.keras,,35.0189323425293,DNNs/Full Trained/strategic50/bass_0003_x2/bass_0003/best.keras
4,117344,34.745182037353516,,DNNs/Full Trained/strategic50/bass_0004_x2/bass_0004/best.keras,,34.745182037353516,DNNs/Full Trained/strategic50/bass_0004_x2/bass_0004/best.keras
5,71840,35.063453674316406,,DNNs/Full Trained/strategic50/bass_0005_x2/bass_0005/best.keras,,35.063453674316406,DNNs/Full Trained/strategic50/bass_0005_x2/bass_0005/best.keras
6,68816,35.033294677734375,,DNNs/Full Trained/strategic50/bass_0006_x2/bass_0006/best.keras,,35.033294677734375,DNNs/Full Trained/strategic50/bass_0006_x2/bass_0006/best.keras
7,49568,35.163551330566406,,DNNs/Full Trained/strategic50/bass_0007_x2/bass_0007/best.keras,,35.163551330566406,DNNs/Full Trained/strategic50/bass_0007_x2/bass_0007/best.keras
8,82208,34.918601989746094,,DNNs/Full Trained/strategic50/bass_0008_x2/bass_0008/best.keras,,34.918601989746094,DNNs/Full Trained/strategic50/bass_0008_x2/bass_0008/best.keras
9,88112,34.893367767333984,,DNNs/Full Trained/strategic50/bass_0009_x2/bass_0009/best.keras,,34.893367767333984,DNNs/Full Trained/strategic50/bass_0009_x2/bass_0009/best.keras
10,136272,34.813819885253906,,DNNs/Full Trained/strategic50/bass_0010_x2/bass_0010/best.keras,,34.813819885253906,DNNs/Full Trained/strategic50/bass_0010_x2/bass_0010/best.keras
11,368512,35.81719970703125,,DNNs/Full Trained/strategic50/bass_0011_x2/bass_0011/best.keras,,35.81719970703125,DNNs/Full Trained/strategic50/bass_0011_x2/bass_0011/best.keras
12,398432,36.89028549194336,,DNNs/Full Trained/strategic50/bass_0012_x2/bass_0012/best.keras,,36.89028549194336,DNNs/Full Trained/strategic50/bass_0012_x2/bass_0012/best.keras
13,229920,36.72196960449219,,DNNs/Full Trained/strategic50/bass_0013_x2/bass_0013/best.keras,,36.72196960449219,DNNs/Full Trained/strategic50/bass_0013_x2/bass_0013/best.keras
14,157920,35.657020568847656,,DNNs/Full Trained/strategic50/bass_0014_x2/bass_0014/best.keras,,35.657020568847656,DNNs/Full Trained/strategic50/bass_0014_x2/bass_0014/best.keras
15,294976,36.52549743652344,,DNNs/Full Trained/strategic50/bass_0015_x2/bass_0015/best.keras,,36.52549743652344,DNNs/Full Trained/strategic50/bass_0015_x2/bass_0015/best.keras
16,179008,34.21154022216797,,DNNs/Full Trained/strategic50/bass_0016_x2/bass_0016/best.keras,,34.21154022216797,DNNs/Full Trained/strategic50/bass_0016_x2/bass_0016/best.keras
17,160944,35.00627136230469,,DNNs/Full Trained/strategic50/bass_0017_x2/bass_0017/best.keras,,35.00627136230469,DNNs/Full Trained/strategic50/bass_0017_x2/bass_0017/best.keras
18,511824,36.98381042480469,,DNNs/Full Trained/strategic50/bass_0018_x2/bass_0018/best.keras,,36.98381042480469,DNNs/Full Trained/strategic50/bass_0018_x2/bass_0018/best.keras
