Net,train_psnr,valid_psnr
"[1, 6, 5, 0, 0, 4, 4, 1, 2, 0, 3, 0, 7, 7, 0, 2, 7, 7, 7, 3, 6, 2, 5, 4, 5, 1, 3, 3]",35.11529541,34.63467407
"[1, 4, 5, 0, 0, 1, 1, 5, 0, 3, 3, 0, 4, 7, 6, 5, 2, 2, 7, 4, 2, 3, 7, 6, 4, 1, 5, 1]",32.69583893,32.83954239
"[0, 2, 7, 4, 1, 0, 3, 3, 1, 2, 5, 2, 4, 1, 6, 2, 0, 7, 1, 3, 2, 7, 7, 6, 7, 2, 4, 7]",33.95494843,33.44262314
"[1, 3, 0, 6, 2, 0, 0, 4, 1, 0, 3, 7, 3, 6, 3, 6, 3, 3, 5, 2, 4, 5, 0, 1, 2, 2, 5, 2]",35.23601532,33.7193985
"[2, 5, 4, 3, 4, 5, 7, 2, 5, 3, 1, 5, 6, 3, 2, 1, 4, 2, 5, 3, 5, 6, 3, 5, 1, 1, 6, 1]",33.64899063,33.97372055
"[0, 0, 7, 2, 3, 4, 5, 1, 6, 2, 5, 0, 3, 7, 7, 7, 4, 4, 1, 0, 2, 5, 7, 5, 4, 0, 0, 7]",29.64169502,29.30578995
"[4, 5, 3, 4, 5, 0, 3, 5, 0, 5, 4, 0, 7, 0, 2, 4, 6, 4, 2, 7, 7, 4, 7, 7, 1, 1, 3, 5]",33.53838348,30.49398804
"[2, 0, 5, 0, 0, 7, 5, 3, 3, 4, 5, 0, 2, 5, 3, 4, 2, 5, 5, 7, 7, 1, 4, 6, 6, 2, 3, 6]",33.68505096,33.78722382
"[6, 5, 5, 6, 6, 5, 5, 0, 6, 0, 4, 0, 0, 5, 2, 4, 3, 3, 3, 6, 4, 6, 4, 1, 2, 5, 1, 7]",30.07879257,29.21022224
"[1, 3, 4, 3, 1, 7, 0, 7, 4, 6, 0, 6, 0, 5, 5, 3, 5, 2, 6, 6, 3, 4, 5, 6, 7, 6, 4, 7]",34.28529739,33.64081955
"[0, 4, 4, 2, 4, 1, 4, 4, 4, 6, 2, 1, 4, 1, 4, 2, 4, 6, 6, 0, 3, 4, 7, 1, 3, 7, 3, 4]",34.66999054,34.12487793
"[3, 1, 6, 5, 3, 7, 7, 1, 6, 1, 6, 5, 0, 1, 0, 3, 2, 2, 7, 4, 4, 6, 3, 4, 7, 1, 5, 4]",inf,27.68263245
"[7, 6, 1, 7, 7, 2, 6, 1, 6, 1, 5, 1, 0, 2, 1, 1, 5, 4, 6, 6, 7, 6, 1, 1, 7, 3, 5, 2]",33.33230209,33.27153015
"[6, 5, 1, 1, 5, 0, 1, 3, 3, 4, 0, 3, 2, 6, 5, 7, 1, 3, 1, 1, 6, 3, 3, 3, 7, 0, 2, 4]",32.26086426,32.59134293
"[2, 3, 1, 2, 7, 7, 2, 4, 6, 6, 2, 6, 6, 5, 1, 0, 0, 6, 3, 1, 4, 4, 1, 4, 3, 2, 5, 0]",inf,30.80637741
