Net,params,valid_psnr
"[0, 7, 4, 4, 7, 1, 4, 7, 3, 2, 7, 1, 3, 7, 5, 4, 7, 5, 1, 7, 4, 4, 7, 4, 0, 7, 5, 4]",2272,31.93948936
"[0, 7, 3, 4, 7, 0, 3, 7, 3, 2, 7, 1, 4, 7, 5, 7, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 4]",2544,32.47571182
"[0, 7, 3, 4, 7, 0, 3, 7, 3, 2, 7, 1, 5, 3, 4, 4, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 3]",2816,34.12830734
"[0, 7, 2, 5, 7, 0, 3, 7, 3, 2, 7, 1, 5, 4, 5, 4, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 3]",2976,34.30079651
"[4, 7, 2, 4, 7, 4, 5, 7, 2, 1, 7, 1, 2, 7, 7, 4, 7, 5, 1, 7, 3, 2, 2, 0, 1, 3, 4, 4]",3088,34.14078903
"[4, 7, 3, 4, 6, 4, 4, 7, 2, 1, 7, 1, 2, 7, 7, 4, 7, 4, 1, 7, 3, 2, 2, 0, 1, 3, 4, 4]",3360,34.66404724
"[0, 7, 4, 4, 7, 6, 3, 7, 4, 0, 0, 0, 4, 7, 6, 5, 7, 6, 1, 1, 4, 0, 4, 1, 4, 1, 4, 4]",3520,34.57616425
"[0, 7, 4, 4, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 5, 7, 6, 1, 1, 4, 0, 4, 1, 4, 1, 4, 4]",3792,34.69706726
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 4, 0, 4, 2, 4, 1, 4, 4]",4320,34.95228195
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 1, 4, 1, 4, 4]",9936,35.09380341
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",10192,34.77835846
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",10464,35.12847519
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",16336,34.72067642
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",16352,34.83619308
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",16608,35.13123322
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",29168,34.78379059
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",29184,35.28016281
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",29440,35.42899323
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",60768,35.99721527
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",112032,36.51639175
