Net,params,valid_psnr
"[7, 7, 5, 4, 7, 1, 5, 6, 7, 1, 0, 7, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 0, 5]",811872,35.26165581
"[7, 7, 4, 4, 7, 1, 5, 6, 7, 1, 0, 6, 4, 7, 5, 1, 7, 5, 3, 7, 1, 5, 7, 5, 3, 7, 6, 6]",512800,34.80451965
"[5, 7, 4, 4, 7, 1, 3, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 4, 0, 7, 6, 7, 7, 3, 7, 7, 5]",155072,34.44270325
"[4, 7, 4, 4, 7, 2, 5, 6, 7, 1, 6, 6, 5, 7, 5, 1, 7, 0, 2, 7, 7, 5, 7, 4, 3, 7, 1, 2]",40224,34.59231186
"[4, 7, 4, 4, 7, 2, 4, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 2, 7, 1, 5, 7, 5, 3, 7, 1, 2]",2272,31.87863731
"[4, 7, 4, 4, 7, 2, 5, 6, 6, 1, 0, 6, 5, 7, 5, 1, 7, 0, 3, 7, 1, 5, 7, 5, 3, 7, 1, 2]",27936,34.67798233
"[7, 7, 4, 4, 7, 2, 6, 6, 7, 1, 0, 6, 5, 7, 5, 1, 7, 5, 2, 7, 1, 5, 7, 5, 3, 7, 0, 5]",615264,35.35400391
"[7, 7, 4, 3, 7, 1, 5, 6, 7, 1, 0, 6, 5, 7, 5, 1, 7, 5, 2, 7, 1, 5, 7, 5, 3, 7, 0, 5]",615264,35.03932953
"[7, 7, 4, 4, 7, 2, 5, 6, 7, 1, 0, 6, 4, 7, 5, 1, 7, 5, 3, 7, 1, 5, 7, 5, 3, 7, 0, 5]",512800,34.96873856
"[7, 7, 4, 4, 7, 1, 5, 6, 6, 1, 1, 6, 4, 7, 5, 1, 7, 5, 2, 7, 7, 6, 7, 4, 3, 7, 0, 5]",316192,35.15419769
"[5, 7, 4, 4, 7, 0, 3, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 4, 0, 7, 6, 7, 7, 3, 7, 7, 6]",155072,34.09374619
"[4, 7, 4, 4, 7, 2, 5, 6, 7, 1, 6, 6, 5, 7, 5, 1, 7, 0, 3, 7, 1, 5, 7, 4, 3, 7, 1, 2]",40224,34.6087265
"[4, 7, 4, 4, 7, 2, 5, 6, 6, 1, 0, 6, 5, 7, 2, 1, 7, 0, 3, 7, 1, 5, 7, 5, 3, 7, 1, 2]",27936,34.425457
