sample_id,Net,bass_gene_file,scale,run_name,trainer_output_dir,train_command,eval_extra_command
bass_0001,"[4, 3, 3, 5, 7, 7, 6, 0, 7, 0, 3, 6, 1, 2, 0, 1, 3, 6, 3, 3, 1, 0, 6, 4, 7, 0, 4, 5]",data/architectures/bass_50_sample/genes/bass_0001.json,2,bass_0001,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0001.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0001 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0001/checkpoints/best.keras --sample-id bass_0001 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0001_extra_datasets.csv
bass_0002,"[4, 5, 3, 2, 3, 3, 0, 2, 6, 0, 6, 7, 4, 0, 4, 5, 3, 0, 3, 6, 3, 4, 6, 1, 5, 3, 1, 1]",data/architectures/bass_50_sample/genes/bass_0002.json,2,bass_0002,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0002.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0002 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0002/checkpoints/best.keras --sample-id bass_0002 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0002_extra_datasets.csv
bass_0003,"[0, 4, 6, 3, 1, 4, 6, 4, 4, 3, 1, 4, 0, 5, 1, 4, 7, 7, 3, 3, 5, 6, 3, 0, 3, 3, 3, 4]",data/architectures/bass_50_sample/genes/bass_0003.json,2,bass_0003,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0003.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0003 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0003/checkpoints/best.keras --sample-id bass_0003 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0003_extra_datasets.csv
bass_0004,"[4, 1, 5, 1, 5, 0, 2, 7, 7, 4, 0, 6, 7, 2, 0, 4, 0, 3, 5, 1, 5, 5, 0, 6, 3, 3, 2, 3]",data/architectures/bass_50_sample/genes/bass_0004.json,2,bass_0004,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0004.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0004 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0004/checkpoints/best.keras --sample-id bass_0004 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0004_extra_datasets.csv
bass_0005,"[0, 5, 5, 7, 4, 4, 7, 3, 6, 3, 3, 0, 0, 3, 0, 7, 3, 4, 2, 6, 1, 7, 7, 7, 5, 6, 1, 3]",data/architectures/bass_50_sample/genes/bass_0005.json,2,bass_0005,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0005.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0005 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0005/checkpoints/best.keras --sample-id bass_0005 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0005_extra_datasets.csv
bass_0006,"[4, 4, 7, 2, 0, 6, 5, 7, 5, 0, 3, 0, 7, 2, 2, 7, 5, 6, 0, 2, 4, 4, 7, 3, 0, 0, 1, 3]",data/architectures/bass_50_sample/genes/bass_0006.json,2,bass_0006,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0006.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0006 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0006/checkpoints/best.keras --sample-id bass_0006 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0006_extra_datasets.csv
bass_0007,"[0, 7, 1, 3, 6, 1, 5, 2, 6, 2, 5, 5, 0, 7, 0, 4, 2, 4, 4, 5, 0, 7, 3, 6, 5, 6, 0, 0]",data/architectures/bass_50_sample/genes/bass_0007.json,2,bass_0007,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0007.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0007 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0007/checkpoints/best.keras --sample-id bass_0007 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0007_extra_datasets.csv
bass_0008,"[0, 1, 6, 4, 1, 5, 3, 5, 0, 5, 0, 1, 1, 1, 2, 7, 0, 0, 2, 6, 6, 7, 2, 4, 1, 0, 1, 5]",data/architectures/bass_50_sample/genes/bass_0008.json,2,bass_0008,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0008.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0008 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0008/checkpoints/best.keras --sample-id bass_0008 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0008_extra_datasets.csv
bass_0009,"[4, 4, 7, 7, 1, 0, 1, 2, 4, 2, 7, 5, 2, 0, 3, 1, 7, 2, 0, 0, 3, 3, 4, 3, 7, 1, 0, 5]",data/architectures/bass_50_sample/genes/bass_0009.json,2,bass_0009,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0009.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0009 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0009/checkpoints/best.keras --sample-id bass_0009 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0009_extra_datasets.csv
bass_0010,"[4, 5, 3, 0, 7, 1, 4, 7, 3, 0, 1, 3, 1, 5, 6, 0, 7, 7, 0, 3, 1, 1, 3, 3, 1, 0, 3, 2]",data/architectures/bass_50_sample/genes/bass_0010.json,2,bass_0010,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0010.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0010 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0010/checkpoints/best.keras --sample-id bass_0010 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0010_extra_datasets.csv
bass_0011,"[5, 3, 5, 2, 7, 2, 7, 0, 5, 5, 1, 1, 7, 2, 5, 4, 4, 5, 7, 5, 7, 1, 4, 0, 7, 3, 7, 4]",data/architectures/bass_50_sample/genes/bass_0011.json,2,bass_0011,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0011.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0011 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0011/checkpoints/best.keras --sample-id bass_0011 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0011_extra_datasets.csv
bass_0012,"[1, 4, 6, 4, 5, 6, 4, 0, 2, 2, 5, 0, 1, 7, 1, 5, 5, 3, 5, 1, 4, 6, 6, 1, 6, 2, 5, 4]",data/architectures/bass_50_sample/genes/bass_0012.json,2,bass_0012,srir_outputs/bass_50_sample,python -m srir_training.train --bass-gene-file data/architectures/bass_50_sample/genes/bass_0012.json --directory-train /data/DIV2K_train_HR --directory-val /data/DIV2K_valid_HR --scale 2 --epochs 1000 --lr-schedule plateau --early-stopping-patience 20 --reduce-lr-patience 15 --run-name bass_0012 --output-dir srir_outputs/bass_50_sample,python tools/eval_extra_datasets.py --model-path srir_outputs/bass_50_sample/bass_0012/checkpoints/best.keras --sample-id bass_0012 --scale 2 --set5-dir /data/Set5 --set14-dir /data/Set14 --bsd100-dir /data/BSD100 --output-csv results/zerocost_50_stratified_random/extra_datasets/bass_0012_extra_datasets.csv
