generation,individual_id,decoded_architecture,predicted_psnr,params
0,0,4 2 5 1 2 1 0 7 7 3 1 5 7 2 5 6 7 7 5 3 2 2 4 2 0 2 6 1,-30.127223919942708,58240
0,1,6 6 1 4 4 5 7 0 5 5 7 0 2 5 7 4 3 1 5 6 3 1 4 7 1 3 5 0,-31.230218440532386,613392
0,2,0 7 7 4 1 0 3 0 4 2 7 0 5 2 0 4 5 2 4 7 6 2 2 2 6 3 5 5,-31.244418405216916,42528
0,3,1 7 2 0 1 5 5 1 0 6 3 0 4 1 2 1 3 1 3 5 3 5 7 7 1 6 7 5,-31.290151039053644,427232
0,4,5 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 1 7 5 6 3 3 6 0,-30.257247064971853,518848
0,5,3 2 5 0 6 6 7 4 5 6 0 1 0 3 3 4 6 3 0 6 5 6 3 0 4 0 7 5,-31.046033404193846,1424928
0,6,6 6 1 0 5 7 1 2 1 6 7 1 0 3 7 5 1 0 1 5 7 4 0 7 3 7 1 1,-30.58606547566756,1478160
0,7,6 5 7 0 0 7 3 6 1 5 4 1 1 2 0 4 4 0 7 7 0 2 0 0 4 7 6 4,-29.87812818559571,755472
0,8,1 5 6 3 0 0 0 6 1 7 5 2 2 4 6 5 2 7 6 7 7 0 2 7 6 1 4 7,-30.08119371297615,736800
0,9,2 4 6 0 3 1 5 0 7 2 0 4 5 5 2 1 5 4 0 5 5 1 4 2 0 2 0 3,-31.14063398302434,757152
0,10,4 0 3 3 1 3 1 5 0 6 2 3 7 4 7 7 6 3 5 5 7 4 2 2 7 3 5 3,-29.278800392140138,222880
0,11,1 6 1 0 7 6 4 7 3 4 3 4 3 2 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.101211394234785,277408
0,12,6 2 2 5 5 3 2 7 7 0 0 7 2 6 2 3 4 3 5 7 5 7 3 1 2 2 5 2,-30.597788015236215,1531584
0,13,4 7 1 0 0 6 2 1 2 5 0 1 7 2 2 7 1 6 1 7 0 5 4 7 4 5 7 2,-29.316823765784665,164944
0,14,2 5 5 7 4 3 2 7 1 7 4 6 3 2 1 5 3 5 6 1 4 6 0 6 6 7 1 5,-29.488175704068677,507936
0,15,4 2 4 2 2 4 5 1 0 1 4 4 4 1 0 5 1 6 3 5 5 1 4 4 3 5 1 6,-29.174998577520334,59344
0,16,3 3 7 5 7 5 3 1 2 5 1 1 0 0 2 1 6 7 7 6 5 1 1 6 7 5 1 2,-29.808724732557152,2394080
0,17,0 7 6 7 7 0 0 3 1 1 1 6 5 3 6 7 6 4 1 2 3 5 3 1 2 7 0 6,-31.63563444176587,78032
0,18,0 1 3 1 6 7 7 0 6 3 0 0 5 0 7 5 1 3 5 2 2 7 6 0 0 0 5 4,-30.006415940246388,182336
0,19,4 3 7 1 6 5 1 7 2 1 1 3 2 4 7 2 3 5 4 5 6 5 5 7 6 2 1 3,-29.92824877550674,194656
0,20,2 5 0 6 3 5 7 7 3 2 2 0 5 0 3 0 7 2 6 1 7 4 4 2 7 0 6 2,-30.670049859643818,536352
0,21,1 3 5 6 6 5 7 3 3 3 5 4 1 2 3 1 0 5 7 3 0 5 6 3 7 2 5 2,-29.721305908844688,646752
0,22,6 4 0 7 6 6 4 1 2 1 6 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 1 1,-31.130166774819937,636672
0,23,7 0 1 5 4 6 1 1 0 0 7 6 1 4 5 0 6 7 1 0 4 3 1 6 6 2 5 6,-30.724380341275594,939616
